,Ridge,Lasso,ElasticNet,KNeighborsRegressor,RandomForestRegressor,GradientBoostingRegressor,SVR,value
2012-07-18,1351.045803260486,1297.8794464801074,1277.6705045657368,1161.238651449306,1084.333029545871,1104.7132627984236,1224.7085964024857,1181.0
2012-07-19,1310.6909116506142,1252.4720899707252,1241.7442128065163,1489.6499212071894,1181.6374770573843,1222.4812677011807,1284.0733976200918,1515.0
2012-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2012-07-21,288.55296633731115,295.0899589596616,334.4268403996491,319.5618642853774,235.81457365669738,259.01686497179594,251.9253223923586,325.0
2012-07-22,319.3640404030985,285.55615470978586,310.3335437384953,4.552814831219565e-12,82.56284419134631,7.22294795040029,205.50775030352938,0.0
2012-07-23,590.5381638969849,568.560853157715,590.6198356160894,860.358865383697,884.7367880113458,917.8491776376429,782.2486803028935,875.0
2012-07-24,1053.0984001163333,1020.4915321834558,1020.6565776749752,1075.694398548304,972.5754293295457,1026.3571773314354,1257.705693998625,1094.0
2012-07-25,1375.168043044774,1351.1169812004086,1336.5324009908877,1362.8084427677709,1095.9309573620335,1180.3343995941514,1328.8592604786618,1386.0
2012-07-26,1359.5186505891768,1295.8293910560553,1299.9902572345154,1276.280922592043,1194.2778948393143,1269.394696425052,1446.9296911631977,1298.0
2012-07-27,951.3581350610252,930.764262867632,941.5498878703359,1376.574184613911,1219.0216772939143,1301.270878049423,1206.5808020310371,1400.0
2012-07-28,482.6899578662379,535.4843096310252,537.4535649961887,382.4909698677217,343.4712239888991,305.16779334577103,475.24029101008017,389.0
2012-07-29,327.421556287202,369.5928579702882,378.53062486926444,0.9832672747279698,82.58405758903928,20.596027973893825,183.4318911256637,1.0
2012-07-30,578.2292502445829,587.0891416899156,592.0114909118407,1012.7652929659441,883.8686016077921,894.5137871567465,743.9062917297553,1030.0
2012-07-31,1024.470978138022,1062.4667424731726,1034.7758363817786,1119.941425910892,1038.5919042662124,1100.3647985254102,1136.3433080558693,1139.0
2012-08-01,1354.255138897032,1422.9209108527375,1373.4253280472024,1137.6402368559302,1141.4125226876072,1257.4025038353188,1203.4183436350675,1157.0
2012-08-02,1334.6793877236546,1350.4235304404817,1323.8313043984474,1221.2179552074856,1195.0659331416632,1287.9442644252836,1417.9566502632642,1242.0
2012-08-03,949.0559216567771,965.0590216236336,959.5161455080104,1292.9964662623522,1201.8030013216553,1279.9491456624507,1212.4045737226033,1315.0
2012-08-04,501.37157152715366,529.2063435656643,546.8371118687614,431.6543336039317,365.39307189648,385.31543941832075,451.39582868368325,439.0
2012-08-05,337.5733690332042,373.9347566523125,391.60153792465616,1.384364182372103e-12,82.43370782867403,11.55421351238308,160.1636538788006,0.0
2012-08-06,566.8776354022241,541.1696140953977,549.0795736587826,942.9533164605175,830.2798044742952,847.1646266278098,680.2723146936297,959.0
2012-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-08-08,1158.9322346487027,1176.87809010792,1167.5121759702497,1097.326278592227,1009.7679666427161,1051.2587793457599,924.3043555382225,1116.0
2012-08-09,1313.081662437123,1282.2771628725225,1264.4530651242603,1336.260226350218,1182.8692211512032,1198.2154977299901,1244.2416383579402,1359.0
2012-08-10,918.1073667302644,912.3637341218492,905.2409380317856,1346.0928990974546,1195.5086041400655,1238.5332557930813,1057.164598098862,1369.0
2012-08-11,474.7412834220197,497.6192340859599,496.87291415414296,363.8088916479643,350.949652748718,350.17648774596535,388.96558285151355,370.0
2012-08-12,321.82239462048585,328.76781411551593,337.1508504069352,20.648612769210647,86.73362885429745,8.944102967729053,134.00026478837103,21.0
2012-08-13,589.8657126020039,613.0594475417433,616.1467114857146,963.6019292297373,895.7654771857564,898.7824001239923,703.7064422760626,980.0
2012-08-14,1039.1633547729054,1067.8921675330666,1046.2418155448256,1121.9079604603394,1000.428401030081,1074.396896400603,1158.137057272424,1141.0
2012-08-15,1379.320612532799,1388.1177602045918,1360.8461900447676,1175.004393295449,1102.9151133769203,1231.1220103657683,1306.219788163466,1195.0
2012-08-16,1336.856697615861,1347.5290901301,1327.56929441446,1297.9128026359763,1200.9933898499128,1303.248990523487,1400.108979683518,1320.0
2012-08-17,957.7800827552911,965.9583365885086,965.141827712419,1214.3350842844202,1205.5264103338316,1264.1539197184597,1216.0781789337425,1235.0
2012-08-18,511.24978818361177,533.2218823538384,549.4011743014844,358.89255527434324,365.64057694869797,384.63362592730755,486.01579150424516,365.0
2012-08-19,347.34640883585604,372.19019671117763,391.4755710280114,1.5466821176440895e-12,85.8572871682129,29.72697078181119,191.38519364316795,0.0
2012-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-21,834.9292962271968,851.4958554063667,853.1453655690531,795.4632252518968,879.5851611867965,793.7833323875053,869.25784235331,809.0
2012-08-22,1361.2258558454487,1329.9783738381702,1302.1108035333802,1018.664896614298,1083.2574980558645,1065.7011318163227,1193.485073217903,1036.0
2012-08-23,1319.5875388104048,1292.553716367545,1269.1094792925417,1202.535876987724,1181.945319791296,1183.4457531649985,1283.9382850489753,1223.0
2012-08-24,931.4384069140249,914.4698727571497,908.7201935211066,1094.376476768064,1193.9333154357298,1216.8709467582794,1084.739106967257,1113.0
2012-08-25,493.71907432038574,483.94085733008365,497.3001926355392,481.80096461486164,351.2702817722481,360.0553221206579,395.0000861825588,490.0
