,value,value_no_cl,cos_month,sin_month,cos_n_week,sin_n_week,cos_weekday,sin_weekday,holiday,day_before_holiday,week_with_holiday,trm_shift_45,trm_shift_60,trm_shift_404,trm_shift_592,gt_carro,gt_moto,gt_RUNT
2018-03-18,,,6.123233995736766e-17,1.0,0.23931566428755804,0.970941817426052,0.6234898018587334,-0.7818314824680299,0.0,0.0,0.0,2817.192857142857,2864.707142857143,2876.0385714285717,3083.662857142857,628.0,717.0,281.0
2018-03-19,,,6.123233995736766e-17,1.0,0.120536680255323,0.992708874098054,1.0,0.0,1.0,0.0,1.0,2820.555714285714,2858.3414285714284,2868.304285714286,3088.9357142857143,738.0,822.0,168.0
2018-03-20,,,6.123233995736766e-17,1.0,0.120536680255323,0.992708874098054,0.6234898018587336,0.7818314824680298,0.0,1.0,1.0,2824.4142857142856,2854.2071428571426,2864.405714285714,3087.2285714285713,590.0,777.0,193.0
2018-03-21,,,6.123233995736766e-17,1.0,0.120536680255323,0.992708874098054,-0.22252093395631434,0.9749279121818236,0.0,0.0,1.0,2828.272857142857,2853.6200000000003,2861.61,3083.092857142857,740.0,717.0,363.0
2018-03-22,,,6.123233995736766e-17,1.0,0.120536680255323,0.992708874098054,-0.900968867902419,0.43388373911755823,0.0,0.0,1.0,2832.131428571429,2853.0328571428577,2861.0642857142852,3078.957142857143,598.0,679.0,339.0
2018-03-23,,,6.123233995736766e-17,1.0,0.120536680255323,0.992708874098054,-0.9009688679024191,-0.433883739117558,0.0,0.0,1.0,2832.2642857142855,2852.4457142857145,2860.5185714285717,3074.8214285714284,612.0,751.0,329.0
2018-03-24,,,6.123233995736766e-17,1.0,0.120536680255323,0.992708874098054,-0.2225209339563146,-0.9749279121818236,0.0,0.0,1.0,2832.362857142857,2852.2085714285713,2859.9728571428573,3060.8528571428574,753.0,851.0,362.0
2018-03-25,,,6.123233995736766e-17,1.0,0.120536680255323,0.992708874098054,0.6234898018587334,-0.7818314824680299,0.0,0.0,1.0,2831.7685714285717,2850.847142857143,2863.04,3045.067142857143,688.0,921.0,276.0
2018-03-26,,,6.123233995736766e-17,1.0,-1.6081226496766364e-16,1.0,1.0,0.0,0.0,0.0,1.0,2839.7842857142855,2846.4757142857147,2863.022857142857,3022.8485714285716,639.0,860.0,171.0
2018-03-27,,,6.123233995736766e-17,1.0,-1.6081226496766364e-16,1.0,0.6234898018587336,0.7818314824680298,0.0,0.0,1.0,2850.7228571428573,2838.8014285714285,2862.528571428571,2998.7671428571425,709.0,807.0,388.0
2018-03-28,,,6.123233995736766e-17,1.0,-1.6081226496766364e-16,1.0,-0.22252093395631434,0.9749279121818236,0.0,0.0,1.0,2861.6614285714286,2832.1400000000003,2864.3928571428573,2978.1771428571424,749.0,781.0,409.0
2018-03-29,,,6.123233995736766e-17,1.0,-1.6081226496766364e-16,1.0,-0.900968867902419,0.43388373911755823,1.0,0.0,1.0,2872.5999999999995,2825.4785714285717,2871.6542857142854,2957.587142857143,610.0,814.0,352.0
2018-03-30,,,6.123233995736766e-17,1.0,-1.6081226496766364e-16,1.0,-0.9009688679024191,-0.433883739117558,1.0,1.0,1.0,2881.27,2818.8171428571427,2878.9157142857143,2936.9971428571434,548.0,816.0,175.0
2018-03-31,,,6.123233995736766e-17,1.0,-1.6081226496766364e-16,1.0,-0.2225209339563146,-0.9749279121818236,0.0,1.0,1.0,2889.8242857142855,2817.1700000000005,2886.1771428571424,2925.0214285714287,719.0,862.0,161.0
2018-04-01,,,-0.4999999999999998,0.8660254037844387,-1.6081226496766364e-16,1.0,0.6234898018587334,-0.7818314824680299,0.0,0.0,1.0,2899.095714285714,2815.1185714285716,2890.0842857142857,2915.162857142857,644.0,938.0,277.0
2018-04-02,,,-0.4999999999999998,0.8660254037844387,-0.12053668025532288,0.992708874098054,1.0,0.0,0.0,0.0,0.0,2897.5185714285717,2817.192857142857,2895.09,2909.9014285714284,713.0,957.0,195.0
2018-04-03,,,-0.4999999999999998,0.8660254037844387,-0.12053668025532288,0.992708874098054,0.6234898018587336,0.7818314824680298,0.0,0.0,0.0,2889.5842857142857,2820.555714285714,2897.5928571428567,2906.0099999999998,593.0,746.0,331.0
2018-04-04,,,-0.4999999999999998,0.8660254037844387,-0.12053668025532288,0.992708874098054,-0.22252093395631434,0.9749279121818236,0.0,0.0,0.0,2881.65,2824.4142857142856,2897.02,2900.1100000000006,635.0,900.0,400.0
2018-04-05,,,-0.4999999999999998,0.8660254037844387,-0.12053668025532288,0.992708874098054,-0.900968867902419,0.43388373911755823,0.0,0.0,0.0,2873.7157142857145,2828.272857142857,2894.692857142857,2894.21,653.0,838.0,339.0
2018-04-06,,,-0.4999999999999998,0.8660254037844387,-0.12053668025532288,0.992708874098054,-0.9009688679024191,-0.433883739117558,0.0,0.0,0.0,2866.4114285714286,2832.131428571429,2892.365714285714,2888.3100000000004,560.0,967.0,329.0
